,PickUp,Drop,Bus_Type,From_To,Rating,Price,State
0,Bala Nagar,Bommalasatram,Non A/C Seater / Sleeper (2+1),hyderabad-to-nandyala,4.3,450.0,TSRTC
1,Chanda Nagar,RTC Bus Stand,NON AC Seater / Sleeper 2+1,hyderabad-to-nandyala,4.0,416.0,TSRTC
2,Chanda Nagar,Nandyala,A/C Sleeper (2+1),hyderabad-to-nandyala,4.0,648.0,TSRTC
3,Malakpet,noonepalli flyover,Non A/C Seater / Sleeper (2+1),hyderabad-to-nandyala,4.0,400.0,TSRTC
4,LB Nagar,noonepalli flyover,A/C Sleeper (2+1),hyderabad-to-nandyala,4.1,800.0,TSRTC
5,Vanasthalipuram,Nandyala,Non A/C Seater / Sleeper (2+1),hyderabad-to-nandyala,4.3,380.0,TSRTC
6,Osmania university,Nunepalli Bridge,Non A/C Seater / Sleeper (2+1),hyderabad-to-nandyala,3.9,399.0,TSRTC
7,Vanasthalipuram,Nandyala,A/C Sleeper (2+1),hyderabad-to-nandyala,4.1,800.0,TSRTC
8,Gandi Maisamma,Nandyala,Non A/C Seater / Sleeper (2+1),hyderabad-to-nandyala,3.5,500.0,TSRTC
9,Kachiguda,Bommalasatram,Non A/C Seater / Sleeper (2+1),hyderabad-to-nandyala,4.4,399.0,TSRTC
10,LB Nagar,Bommalasatram,Non A/C Seater / Sleeper (2+1),hyderabad-to-nandyala,3.5,450.0,TSRTC
11,Miyapur,Bommala Satram,Non A/C Seater / Sleeper (2+1),hyderabad-to-nandyala,3.6,399.0,TSRTC
12,Miyapur,Bommalasataram,A/C Sleeper (2+1),hyderabad-to-nandyala,4.7,900.0,TSRTC
13,Miyapur,noonepalli flyover,Non A/C Seater / Sleeper (2+1),hyderabad-to-nandyala,3.6,400.0,TSRTC
14,Vanasthalipuram,Nandyala,Non A/C Seater / Sleeper (2+1),hyderabad-to-nandyala,4.4,399.0,TSRTC
15,Ameerpet,Nandyala,Bharat Benz A/C Seater /Sleeper (2+1),hyderabad-to-nandyala,5.0,400.0,TSRTC
16,Dilsukhnagar,Nandyala,A/C Sleeper (2+1),hyderabad-to-nandyala,3.7,800.0,TSRTC
17,Vanasthalipuram,Bommalasataram,A/C Seater / Sleeper (2+1),hyderabad-to-nandyala,3.4,600.0,TSRTC
18,Nagole,Nunepalli Bridge,Non A/C Seater / Sleeper (2+1),hyderabad-to-nandyala,4.4,399.0,TSRTC
19,Vanasthalipuram,nandyala,Non A/C Seater / Sleeper (2+1),hyderabad-to-nandyala,4.5,400.0,TSRTC
20,Miyapur,Nandyal,A/C Seater / Sleeper (2+1),hyderabad-to-nandyala,3.6,480.0,TSRTC
21,Miyapur,Bommalasatram,A/C Sleeper (2+1),hyderabad-to-nandyala,2.9,800.0,TSRTC
22,Vanasthalipuram,Shanthiram Medical clg,Non A/C Seater / Sleeper (2+1),hyderabad-to-nandyala,3.4,500.0,TSRTC
23,Miyapur,Bommalasataram,Non A/C Seater / Sleeper (2+1),hyderabad-to-nandyala,3.6,500.0,TSRTC
24,Lakdikapul,Nandyal,A/C Sleeper (2+1),hyderabad-to-nandyala,3.3,1499.0,TSRTC
25,Miyapur,Bommalasatram,A/C Sleeper (2+1),hyderabad-to-nandyala,2.4,700.0,TSRTC
26,Ameerpet,Shantiram Medical college,A/C Sleeper (2+1),hyderabad-to-nandyala,4.3,728.0,TSRTC
27,SR Nagar,Nandyala,A/C Sleeper (2+1),hyderabad-to-nandyala,1.7,790.0,TSRTC
28,Ameerpet,Nandyala,Bharat Benz A/C Seater /Sleeper (2+1),hyderabad-to-nandyala,5.0,500.0,TSRTC
29,Gachibowli,Nandyala,Volvo 9600 Multi-Axle A/C Sleeper (2+1),hyderabad-to-nandyala,4.5,1280.0,TSRTC
30,Secunderabad,Nandyal,A/C Sleeper (2+1),hyderabad-to-nandyala,4.4,799.0,TSRTC
31,Mehdipatnam,Nandyala Bypass,A/C Sleeper (2+1),hyderabad-to-nandyala,4.1,690.0,TSRTC
32,Kukatpally,NANDYALA,Mercedes Benz Multi-Axle A/C Sleeper (2+1),hyderabad-to-nandyala,4.1,680.0,TSRTC
33,Kukatpally,Nandyala,NON A/C Seater/ Sleeper (2+1),hyderabad-to-nandyala,4.0,450.0,TSRTC
34,Miyapur,Bommalasatram,Non A/C Seater / Sleeper (2+1),hyderabad-to-nandyala,3.9,399.0,TSRTC
35,Erragadda,Nandyal bommalasatram,Non A/C Seater / Sleeper (2+1),hyderabad-to-nandyala,4.1,410.0,TSRTC
36,Erragadda,Nandyala,VE A/C Sleeper (2+1),hyderabad-to-nandyala,3.6,1079.0,TSRTC
37,Vanasthalipuram,Bommalasataram,NON A/C Sleeper (2+1),hyderabad-to-nandyala,3.7,700.0,TSRTC
38,LB Nagar,Bus Stand,Non A/C Seater / Sleeper (2+1),hyderabad-to-nandyala,3.7,3000.0,TSRTC
39,Kachiguda,Nandyala,Non A/C Seater / Sleeper (2+1),hyderabad-to-nandyala,3.5,399.0,TSRTC
40,C B S,Bommala satram,A/C Sleeper (2+1),hyderabad-to-nandyala,3.7,750.0,TSRTC
41,Kukatpally,Nandyala,Non A/C Seater / Sleeper (2+1),hyderabad-to-nandyala,3.9,400.0,TSRTC
42,Mehdipatnam (Pickup VanBus),Nandyala,Bharat Benz A/C Sleeper (2+1),hyderabad-to-nandyala,3.6,1100.0,TSRTC
43,Mehdipatnam,Nandyal By Pass,A/C Sleeper (2+1),hyderabad-to-nandyala,3.6,899.0,TSRTC
44,Kukatpally,Nandyala by pass,A/C Sleeper (2+1),hyderabad-to-nandyala,3.5,800.0,TSRTC
45,Erragadda,Nandyala,Volvo Multi Axle A/C Sleeper I-Shift B11R (2+1),hyderabad-to-nandyala,3.6,945.0,TSRTC
46,LB Nagar,Bommalasatram,Non A/C Seater / Sleeper (2+1),hyderabad-to-nandyala,3.2,450.0,TSRTC
47,Vanasthalipuram,Bommalasataram,Non A/C Seater / Sleeper (2+1),hyderabad-to-nandyala,3.8,500.0,TSRTC
48,Erragadda,Nandyala,Non A/C Seater / Sleeper (2+1),hyderabad-to-nandyala,3.6,400.0,TSRTC
49,Vanasthalipuram,Nandyala,Non A/C Seater / Sleeper (2+1),hyderabad-to-nandyala,4.1,399.0,TSRTC
50,LB Nagar,noonepalli flyover,Non A/C Seater / Sleeper (2+1),hyderabad-to-nandyala,3.4,400.0,TSRTC
51,Miyapur,Bommalasatram,Non A/C Seater / Sleeper (2+1),hyderabad-to-nandyala,3.8,400.0,TSRTC
52,Shivarampalli,Shantiram Medical college,A/C Sleeper (2+1),hyderabad-to-nandyala,4.3,795.0,TSRTC
53,Erragadda,Nandyala,Non A/C Seater / Sleeper (2+1),hyderabad-to-nandyala,2.6,500.0,TSRTC
54,Vanastalipuram,Nandyal,Non A/C Seater / Sleeper (2+1),hyderabad-to-nandyala,2.1,390.0,TSRTC
55,Lakdikapul,Nandyala,Scania AC Multi Axle Sleeper (2+1),hyderabad-to-nandyala,1.7,949.0,TSRTC
56,Beeramguda,Gajulapally,Non A/C Seater / Sleeper (2+1),hyderabad-to-nandyala,1.8,500.0,TSRTC
57,Miyapur,Nandyala,A/C Sleeper (2+1),hyderabad-to-nandyala,2.3,741.0,TSRTC
58,Gandi Maisamma,Bommala satram,A/C Sleeper (2+1),hyderabad-to-nandyala,1.8,799.0,TSRTC
59,Miyapur,Bommalasataram,Non A/C Seater / Sleeper (2+1),hyderabad-to-nandyala,1.7,620.0,TSRTC
60,LB Nagar,Nandyala,A/C Sleeper (2+1),hyderabad-to-nandyala,4.1,799.0,TSRTC
61,Miyapur,Nandyala,NON A/C Sleeper (2+1),hyderabad-to-nandyala,4.0,5000.0,TSRTC
62,Chintal,Nandayala,Non A/C Seater / Sleeper (2+1),hyderabad-to-nandyala,1.9,450.0,TSRTC
63,Mehdipatnam,Nandyal,A/C Sleeper (2+1),hyderabad-to-nandyala,3.8,4999.0,TSRTC
64,Chandanagar,Nandyal,Non A/C Seater / Sleeper (2+1),hyderabad-to-nandyala,3.8,3099.0,TSRTC
65,C B S,Bommala satram,NON A/C Sleeper (2+1),hyderabad-to-nandyala,3.7,800.0,TSRTC
66,LB Nagar,Bus Stand,Non A/C Seater / Sleeper (2+1),hyderabad-to-nandyala,3.7,399.0,TSRTC
68,Vanasthalipuram,Bommalasataram,NON A/C Sleeper (2+1),hyderabad-to-nandyala,3.7,1000.0,TSRTC
69,Chanda Nagar,Bus Stand,Bharat Benz A/C Sleeper (2+1),hyderabad-to-nandyala,3.6,759.0,TSRTC
70,Kachiguda,Nandyal Bypass,Non A/C Seater / Sleeper (2+1),hyderabad-to-nandyala,3.6,400.0,TSRTC
71,Malakpet,Bommala Satram,Non A/C Seater / Sleeper (2+1),hyderabad-to-nandyala,3.6,2850.0,TSRTC
72,Miyapur,Nandyal,Non A/C Seater / Sleeper (2+1),hyderabad-to-nandyala,3.6,499.0,TSRTC
73,Miyapur,Nandyal Bypass,NON A/C Sleeper (2+1),hyderabad-to-nandyala,3.6,600.0,TSRTC
74,Gandi Maisamma,Nandyala by pass,A/C Sleeper (2+1),hyderabad-to-nandyala,3.5,800.0,TSRTC
75,Miyapur,Nandyal Bypass,A/C Sleeper (2+1),hyderabad-to-nandyala,3.3,1400.0,TSRTC
76,Shivarampalli,Nandyal,A/C Sleeper (2+1),hyderabad-to-nandyala,3.3,1700.0,TSRTC
77,Miyapur,Nandyala,NON A/C Sleeper (2+1),hyderabad-to-nandyala,2.3,751.0,TSRTC
78,Moosapet,Nandyala,A/C Sleeper (2+1),hyderabad-to-nandyala,2.2,1000.0,TSRTC
79,Chanda Nagar,Nandyala,A/C Sleeper (2+1),hyderabad-to-nandyala,2.2,1500.0,TSRTC
80,Moosapet,Nandyala,Bharat Benz A/C Sleeper (2+1),hyderabad-to-nandyala,1.7,999.0,TSRTC
81,Khammam,Vanasthalipuram,Non A/C Seater / Sleeper (2+1),khammam-to-hyderabad,3.0,600.0,TSRTC
82,KHAMAM,SR Nagar,NON A/C Seater (2+2),khammam-to-hyderabad,3.2,650.0,TSRTC
83,Khammam,Erragadda,NON A/C Seater (2+2),khammam-to-hyderabad,4.2,560.0,TSRTC
84,Khammam,Lingampalli B H E L,Non A/C Seater / Sleeper (2+1),khammam-to-hyderabad,3.8,550.0,TSRTC
85,Khammam,Moosapet,A/C Seater / Sleeper (2+1),khammam-to-hyderabad,4.6,500.0,TSRTC
86,KHAMAM,Vanasthalipuram,A/C Sleeper (2+1),khammam-to-hyderabad,3.2,780.0,TSRTC
87,Near,Nizampet,A/C Seater / Sleeper (2+1),khammam-to-hyderabad,5.0,610.0,TSRTC
88,Khammam,Miyapur,Non A/C Seater / Sleeper (2+1),khammam-to-hyderabad,3.1,600.0,TSRTC
89,Khammam,Lakdikapul,Non A/C Seater / Sleeper (2+1),khammam-to-hyderabad,4.4,730.0,TSRTC
90,Khammam,Erragadda,A/C Seater / Sleeper (2+1),khammam-to-hyderabad,4.6,680.0,TSRTC
91,Next,Beeramguda,Non A/C Seater / Sleeper (2+1),khammam-to-hyderabad,3.1,750.0,TSRTC
92,Next,SR Nagar,NON A/C Seater/ Sleeper (2+1),khammam-to-hyderabad,3.2,700.0,TSRTC
93,Next,Ameerpet,A/C Seater / Sleeper (2+1),khammam-to-hyderabad,4.4,699.0,TSRTC
94,Khammam,Dilsukhnagar,A/C Sleeper (2+1),khammam-to-hyderabad,2.5,600.0,TSRTC
95,Khammam,Vanasthalipuram,Scania AC Multi Axle Sleeper (2+1),khammam-to-hyderabad,1.8,700.0,TSRTC
96,Khammam,Lingampalli B H E L,A/C Semi Sleeper (2+2),khammam-to-hyderabad,2.3,550.0,TSRTC
97,Next,SR Nagar,Bharat Benz A/C Sleeper (2+1),khammam-to-hyderabad,3.5,700.0,TSRTC
98,Next,SR Nagar,A/C Sleeper (2+1),khammam-to-hyderabad,1.8,600.0,TSRTC
99,Next,Vanasthalipuram,A/C Sleeper (2+1),khammam-to-hyderabad,1.8,790.0,TSRTC
100,Khammam,Erragadda,A/C Sleeper (2+1),khammam-to-hyderabad,4.2,880.0,TSRTC
101,Khammam,Lakdikapul,NON A/C Hi-Tech Push Back (2+2),khammam-to-hyderabad,4.4,3000.0,TSRTC
102,Near,Beeramguda,Non A/C Seater / Sleeper (2+1),khammam-to-hyderabad,4.2,3800.0,TSRTC
103,Next,Nizampet,A/C Sleeper (2+1),khammam-to-hyderabad,2.9,890.0,TSRTC
104,Kukatpally,khammam,A/C Seater / Sleeper (2+1),hyderabad-to-khammam,4.2,610.0,TSRTC
105,Nagole,Khammam Bus Stand,Non A/C Seater / Sleeper (2+1),hyderabad-to-khammam,3.8,600.0,TSRTC
106,Bachupally,Khammam,Non A/C Seater / Sleeper (2+1),hyderabad-to-khammam,3.5,350.0,TSRTC
107,Miyapur,telangana,A/C Sleeper (2+1),hyderabad-to-khammam,3.5,799.0,TSRTC
108,Central Bus Station (CBS),Nadar School,A/C Seater / Sleeper (2+2),hyderabad-to-khammam,3.8,700.0,TSRTC
109,Gandi Maisamma,KHAMAM,Non A/C Seater / Sleeper (2+1),hyderabad-to-khammam,4.9,400.0,TSRTC
110,Beeramguda,Khammam,Non A/C Seater / Sleeper (2+1),hyderabad-to-khammam,4.7,400.0,TSRTC
111,Miyapur,Khammam,Non A/C Seater / Sleeper (2+1),hyderabad-to-khammam,4.3,400.0,TSRTC
112,Beeramguda,Khammam,A/C Sleeper (2+1),hyderabad-to-khammam,4.5,780.0,TSRTC
113,Beeramguda,Khammam,Non A/C Seater / Sleeper (2+1),hyderabad-to-khammam,4.5,500.0,TSRTC
114,Serilingampally,Khammam Bus Stand,A/C Seater / Sleeper (2+1),hyderabad-to-khammam,3.5,610.0,TSRTC
116,Hydernagar,Khammam,NON A/C Hi-Tech (2+2),hyderabad-to-khammam,3.5,400.0,TSRTC
117,Rajdhani Travels Beside Otc T...,Bus Stand Khammam,A/C Sleeper (2+1),hyderabad-to-khammam,4.3,950.0,TSRTC
118,Bhel,khammam,Non A/C Seater / Sleeper (2+1),hyderabad-to-khammam,4.2,444.0,TSRTC
119,Erragadda,Rtc Bus Stand Khammam,A/C Sleeper (2+1),hyderabad-to-khammam,3.3,699.0,TSRTC
120,Chanda Nagar,KHAMAM,Non A/C Seater / Sleeper (2+1),hyderabad-to-khammam,3.9,400.0,TSRTC
121,Miyapur,Khammam,Non A/C Seater / Sleeper (2+1),hyderabad-to-khammam,3.5,500.0,TSRTC
122,Secunderabad,Khammam,NON A/C Seater (2+2),hyderabad-to-khammam,4.1,400.0,TSRTC
123,Bhel,KHAMAM,A/C Sleeper (2+1),hyderabad-to-khammam,4.1,480.0,TSRTC
124,Serilingampally,Khammam,A/C Seater / Sleeper (2+1),hyderabad-to-khammam,3.8,450.0,TSRTC
125,Dargah (Pickup Van/Bus),Khammam,A/C Sleeper (2+1),hyderabad-to-khammam,3.3,780.0,TSRTC
126,Uppal,Khammam,Non A/C Seater / Sleeper (2+1),hyderabad-to-khammam,3.2,499.0,TSRTC
127,ESI,Khammam Bus Stand,Volvo Multi-Axle A/C Sleeper (2+1),hyderabad-to-khammam,3.2,900.0,TSRTC
128,Nizampet,Khammam,NON A/C Hi-Tech (2+2),hyderabad-to-khammam,3.5,560.0,TSRTC
129,Beeramguda,Khammam,NON A/C Seater (2+2),hyderabad-to-khammam,4.8,450.0,TSRTC
130,Beeramguda,Khammam,A/C Seater / Sleeper (2+1),hyderabad-to-khammam,3.8,535.0,TSRTC
131,Miyapur,Khammam,Non A/C Seater / Sleeper (2+1),hyderabad-to-khammam,4.5,500.0,TSRTC
132,Miyapur,Khammam,A/C Sleeper (2+1),hyderabad-to-khammam,4.5,680.0,TSRTC
133,SR Nagar,Khammam,A/C Seater / Sleeper (2+1),hyderabad-to-khammam,4.1,535.0,TSRTC
134,Ameerpet,Khammam,A/C Sleeper (2+1),hyderabad-to-khammam,4.5,649.0,TSRTC
135,T V Tower Malakpet,Bus Stop,A/C Sleeper (2+1),hyderabad-to-khammam,4.5,699.0,TSRTC
136,Tarnaka,Khammam Bus Stand,A/C Sleeper (2+1),hyderabad-to-khammam,2.5,900.0,TSRTC
137,Kondapur RTA Office,Khammam,A/C Sleeper (2+1),hyderabad-to-khammam,2.8,666.0,TSRTC
138,Central Bus Station (CBS), Khammam,NON A/C Seater / Sleeper (2+2),hyderabad-to-khammam,1.9,656.0,TSRTC
139,Miyapur,Khammam,A/C Seater / Sleeper (2+1),hyderabad-to-khammam,2.8,455.0,TSRTC
140,Patancheru,Khammam Kinnera hospital,A/C Sleeper (2+1),hyderabad-to-khammam,2.3,670.0,TSRTC
141,Chanda Nagar,Khammam,Non A/C Seater / Sleeper (2+1),hyderabad-to-khammam,2.4,399.0,TSRTC
142,Miyapur,Khammam,Non A/C Seater / Sleeper (2+1),hyderabad-to-khammam,2.4,399.0,TSRTC
143,Bhel,Khammam,A/C Sleeper (2+1),hyderabad-to-khammam,2.5,690.0,TSRTC
144,Moosapet,Nadar School,A/C Sleeper (2+1),hyderabad-to-khammam,2.5,600.0,TSRTC
145,Hi Tech City,Khammam,AshokLeyland Stile A/C,hyderabad-to-khammam,2.5,428.0,TSRTC
146,Jeedimetla,Near Orange Travels O,Bharat Benz A/C Sleeper (2+1),hyderabad-to-khammam,3.5,770.0,TSRTC
147,Hydernagar,Nadar School,A/C Sleeper (2+1),hyderabad-to-khammam,2.2,600.0,TSRTC
148,Uppal,Khammam Kinnera hospital,NON A/C Seater/ Sleeper (2+1),hyderabad-to-khammam,2.8,400.0,TSRTC
149,Beeramguda,Khammam,Non A/C Seater / Sleeper (2+1),hyderabad-to-khammam,4.6,3800.0,TSRTC
150,Miyapur,Khammam,NON A/C Hi-Tech Push Back (2+2),hyderabad-to-khammam,2.4,3000.0,TSRTC
151,Miyapur,Khammam,A/C Semi Sleeper (2+2),hyderabad-to-khammam,3.5,1200.0,TSRTC
152,Jubilee Bus Station JBS,SRISAILAM BS,Super Luxury (Non AC Seater 2+2 Push Back),hyderabad-to-srisailam,4.3,442.0,TSRTC
153,Central Bus Station (CBS),SRISAILAM BS,Deluxe (Non AC Seater 2+2),hyderabad-to-srisailam,3.8,390.0,TSRTC
155,Bhel,SRISAILAM BS,Super Luxury (Non AC Seater 2+2 Push Back),hyderabad-to-srisailam,4.2,442.0,TSRTC
156,Jubilee Bus Station JBS,SRISAILAM BS,Super Luxury (Non AC Seater 2+2 Push Back),hyderabad-to-srisailam,4.4,442.0,TSRTC
157,Jubilee Bus Station JBS,SRISAILAM BS,Super Luxury (Non AC Seater 2+2 Push Back),hyderabad-to-srisailam,3.9,442.0,TSRTC
158,Bhel,SRISAILAM BS,Super Luxury (Non AC Seater 2+2 Push Back),hyderabad-to-srisailam,4.4,442.0,TSRTC
160,Kukatpally,SRISAILAM BS,Super Luxury (Non AC Seater 2+2 Push Back),hyderabad-to-srisailam,4.1,442.0,TSRTC
161,"Karimnagar, In front of ,Gree...",Jubilee Bus Station JBS,Scania AC Multi Axle Sleeper (2+1),karimnagar-to-hyderabad,3.3,500.0,TSRTC
162,BUS STAND,Ameerpet,Volvo Multi Axle B9R A/C Sleeper (2+1),karimnagar-to-hyderabad,2.6,590.0,TSRTC
163,Surabhi Restaurant,Gachibowli,A/C Sleeper (2+1),karimnagar-to-hyderabad,3.8,839.0,TSRTC
164,Moosapet,Opp tvs showroom,AC Sleeper (2+1),hyderabad-to-mancherial,2.4,809.0,TSRTC
165,Moosapet,Karim nagar bus stand,AC Sleeper (2+1),hyderabad-to-karimnagar,2.8,809.0,TSRTC
166,Central Bus Station (CBS),karimnagar bus stand,AC Seater (2+2),hyderabad-to-karimnagar,2.7,2000.0,TSRTC
167,Kukatpally,Karimnagar,A/C Seater/Sleeper (2+1),hyderabad-to-karimnagar,2.7,3000.0,TSRTC
168,Kompally,Nirmal ByPass,A/C Seater / Sleeper (2+1),hyderabad-to-nirmal,3.5,1031.0,TSRTC
169,Jubilee Bus Station JBS,Gdr Office Mancherial X Road,Bharat Benz A/C Seater (2+2),hyderabad-to-nirmal,3.5,300.0,TSRTC
170,Balamrai,Nirmal ByPass,A/C Sleeper (2+1),hyderabad-to-nirmal,3.5,1034.0,TSRTC
171,Jubilee Bus Station JBS,Mancherial X Road,Bharat Benz A/C Seater (2+2),hyderabad-to-nirmal,3.7,300.0,TSRTC
172,JBS -Centenary High school (P...,Mancherial X road,Volvo Multi-Axle A/C Semi Sleeper (2+2),hyderabad-to-nirmal,3.1,400.0,TSRTC
173,Lakdikapul,Mancherial X road,Bharat Benz A/C Sleeper (2+1),hyderabad-to-nirmal,3.2,700.0,TSRTC
174,Putlibowli,Nirmal,NON A/C Sleeper (2+1),hyderabad-to-nirmal,2.4,462.0,TSRTC
175,Nampally,Nirmal Bypass,A/C Sleeper (2+1),hyderabad-to-nirmal,4.2,666.0,TSRTC
176,Balamrai,Nirmal ByPass,A/C Sleeper (2+1),hyderabad-to-nirmal,3.5,945.0,TSRTC
177,Putlibowli,Nirmal,NON A/C Sleeper (2+1),hyderabad-to-nirmal,4.3,450.0,TSRTC
178,Chanda Nagar,Nirmal Bypass,A/C Sleeper (2+1),hyderabad-to-nirmal,4.2,666.0,TSRTC
179,Putlibowli,Nirmal,NON A/C Sleeper (2+1),hyderabad-to-nirmal,3.6,535.0,TSRTC
180,Nampally,Nirmal Bypass,NON A/C Seater (2+2),hyderabad-to-nirmal,4.2,450.0,TSRTC
181,Afzalgunj,Nirmal By Pass,A/C Sleeper (2+1),hyderabad-to-nirmal,4.3,720.0,TSRTC
182,Putlibowli,Nirmal,NON A/C Sleeper (2+1),hyderabad-to-nirmal,3.6,618.0,TSRTC
183,Paradise,Nirmal bypass,Volvo Multi Axle Sleeper B11R (2+1),hyderabad-to-nirmal,3.8,904.0,TSRTC
184,Nampally,Nirmal Bypass,NON A/C Sleeper (2+1),hyderabad-to-nirmal,4.2,666.0,TSRTC
185,Jubilee Bus Station JBS,Nirmal Bus Stop,A/C Sleeper (2+1),hyderabad-to-nirmal,3.4,750.0,TSRTC
186,Putlibowli,Nirmal,A/C Sleeper (2+1),hyderabad-to-nirmal,3.6,830.0,TSRTC
187,Paradise,Nirmal,Non A/C Seater / Sleeper (2+1),hyderabad-to-nirmal,3.3,469.0,TSRTC
188,Putlibowli,Nirmal,NON A/C Airbus (2+2),hyderabad-to-nirmal,3.6,330.0,TSRTC
189,Paradise,Nirmal bypass,Volvo 9600 Multi-Axle A/C Sleeper (2+1),hyderabad-to-nirmal,3.8,951.0,TSRTC
190,Putlibowli,NIRMAL BUS STAND,NON A/C Semi Sleeper (2+2),hyderabad-to-nirmal,4.1,350.0,TSRTC
191,Kukatpali,Nirmal,Non A/C Seater / Sleeper (2+1),hyderabad-to-nirmal,3.5,4999.0,TSRTC
192,Khairatabad,Nirmal,A/C Sleeper (2+1),hyderabad-to-nirmal,2.1,1500.0,TSRTC
193,Putlibowli,Nirmal,A/C Sleeper (2+1),hyderabad-to-nirmal,2.6,800.0,TSRTC
194,JBS -Centenary High school (P...,Adilabad office,Volvo Multi-Axle A/C Semi Sleeper (2+2),hyderabad-to-adilabad,3.5,400.0,TSRTC
195,Putlibowli,Sahara Office,A/C Sleeper (2+1),hyderabad-to-adilabad,3.6,550.0,TSRTC
196,Putlibowli,Khairatabad,NON A/C Sleeper (2+1),hyderabad-to-adilabad,3.6,450.0,TSRTC
197,Jubilee Bus Station JBS,New Bus Stand,Bharat Benz A/C Seater (2+2),hyderabad-to-adilabad,3.4,300.0,TSRTC
198,Jubilee Bus Station JBS,Opp Adb Bus Stop Raj Travels,Bharat Benz A/C Seater (2+2),hyderabad-to-adilabad,3.3,300.0,TSRTC
199,Putlibowli,Sahara Office,Non AC Seater (2+2),hyderabad-to-adilabad,3.5,399.0,TSRTC
200,Jubilee Bus Station JBS,Adilabad office,A/C Sleeper (2+1),hyderabad-to-adilabad,4.4,750.0,TSRTC
201,Namapally,Khairatabad,A/C Sleeper (2+1),hyderabad-to-adilabad,3.7,5000.0,TSRTC
202,Putlibowli,Metro Office,NON A/C Sleeper (2+1),hyderabad-to-adilabad,3.8,462.0,TSRTC
203,Paradise,Adilabad,Non A/C Seater / Sleeper (2+1),hyderabad-to-adilabad,3.5,399.0,TSRTC
204,Chanda Nagar,Khairatabad,A/C Sleeper (2+1),hyderabad-to-adilabad,4.2,666.0,TSRTC
205,Putlibowli,Adilabad,A/C Sleeper (2+1),hyderabad-to-adilabad,3.5,500.0,TSRTC
206,Putlibowli,MAVALA VILLAGE,NON A/C Semi Sleeper (2+2),hyderabad-to-adilabad,3.8,350.0,TSRTC
207,Bowenpally,Adilabad office,Scania AC Multi Axle Sleeper (2+1),hyderabad-to-adilabad,2.5,800.0,TSRTC
208,Putlibowli,RTC Bus Stand,NON A/C Airbus (2+2),hyderabad-to-adilabad,3.4,330.0,TSRTC
209,Nampally,Khairatabad,NON A/C Sleeper (2+1),hyderabad-to-adilabad,3.3,666.0,TSRTC
210,Putlibowli,Bus stand adilabad,AC Sleeper (2+1),hyderabad-to-adilabad,1.9,800.0,TSRTC
211,Putlibowli,Bus stand,NON A/C Semi Sleeper (2+2),hyderabad-to-adilabad,3.2,351.0,TSRTC
212,Lakdikapul,Adilabad office,Bharat Benz A/C Sleeper (2+1),hyderabad-to-adilabad,2.6,800.0,TSRTC
213,Jubilee Bus Station JBS,Adilabad office,A/C Sleeper (2+1),hyderabad-to-adilabad,2.8,1000.0,TSRTC
214,Nampally,Khairatabad,NON A/C Seater (2+2),hyderabad-to-adilabad,1.7,450.0,TSRTC
215,Kompally,Khairatabad,A/C Sleeper (2+1),hyderabad-to-adilabad,2.0,800.0,TSRTC
216,Nampally,Khairatabad,A/C Sleeper (2+1),hyderabad-to-adilabad,2.1,666.0,TSRTC
217,Nampally near limra travels,adilabad,A/C Sleeper (2+1),hyderabad-to-adilabad,3.9,760.0,TSRTC
218,Kompally,Adilabad Bypass,A/C Seater / Sleeper (2+1),hyderabad-to-adilabad,1.5,1031.0,TSRTC
219,Paradise,adilabad,Volvo 9600 Multi-Axle A/C Sleeper (2+1),hyderabad-to-adilabad,3.8,951.0,TSRTC
220,Paradise,adilabad,Volvo Multi Axle Sleeper B11R (2+1),hyderabad-to-adilabad,3.8,904.0,TSRTC
221,Balamrai,Adilabad Bypass,A/C Sleeper (2+1),hyderabad-to-adilabad,2.7,1034.0,TSRTC
222,Tolichowki,adilabad,AC Sleeper (2+1),hyderabad-to-adilabad,3.8,1100.0,TSRTC
223,Putlibowli,Khairatabad,NON A/C Seater (2+1),hyderabad-to-adilabad,2.6,400.0,TSRTC
224,Putlibowli,Adilabad Bypass,A/C Sleeper (2+1),hyderabad-to-adilabad,3.4,619.05,TSRTC
225,Central Bus Station (CBS),Adilabad Bypass,Non A/C Seater / Sleeper (2+1),hyderabad-to-adilabad,1.5,2849.0,TSRTC
226,Miyapur,Khairatabad,A/C Sleeper (2+1),hyderabad-to-adilabad,2.2,800.0,TSRTC
227,Balamrai,Adilabad Bypass,A/C Sleeper (2+1),hyderabad-to-adilabad,2.7,945.0,TSRTC
228,Lakdikapul,Adilabad Bypass,A/C Sleeper (2+1),hyderabad-to-adilabad,2.3,2600.0,TSRTC
229,SR Nagar,Khairatabad,A/C Sleeper (2+1),hyderabad-to-adilabad,2.2,800.0,TSRTC
230,Bowenpally,Adilabad Bypass,Non A/C Seater / Sleeper (2+1),hyderabad-to-adilabad,3.5,2849.0,TSRTC
231,Beeramguda,NTR Circle Addanki Bus Stand ,A/C Seater / Sleeper (2+1),hyderabad-to-ongole,4.5,444.0,TSRTC
232,Madhapur,Ongole,Scania AC Multi Axle Sleeper (2+1),hyderabad-to-ongole,4.2,1000.0,TSRTC
